2025-12-14 10:16:12.075 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Node 3 disconnected.
2025-12-14 10:16:12.076 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Connection to node 3 (localhost/127.0.0.1:39092) could not be established. Node may not be available.
2025-12-14 10:16:13.006 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Node 2 disconnected.
2025-12-14 10:16:13.008 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Connection to node 2 (localhost/127.0.0.1:29092) could not be established. Node may not be available.
2025-12-14 10:16:13.138 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-ticketmaster-processor-group-1, groupId=ticketmaster-processor-group] Node 3 disconnected.
2025-12-14 10:16:13.138 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-ticketmaster-processor-group-1, groupId=ticketmaster-processor-group] Connection to node 3 (localhost/127.0.0.1:39092) could not be established. Node may not be available.
2025-12-14 10:16:13.429 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-ticketmaster-processor-group-1, groupId=ticketmaster-processor-group] Node 2 disconnected.
2025-12-14 10:16:13.429 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-ticketmaster-processor-group-1, groupId=ticketmaster-processor-group] Connection to node 2 (localhost/127.0.0.1:29092) could not be established. Node may not be available.
2025-12-14 10:16:13.430 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-ticketmaster-processor-group-1, groupId=ticketmaster-processor-group] Error sending fetch request (sessionId=1516621320, epoch=INITIAL) to node 2:
org.apache.kafka.common.errors.DisconnectException: null
